日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:00:37 1539.61 1426.71 1672.43 0.00 0.00 0.00 15.96 6.38 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:38 1541.82 1431.14 1676.86 0.00 0.00 0.00 16.45 5.46 0.00 4.71 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:39 1537.40 1424.50 1661.36 0.00 0.00 0.00 16.33 5.10 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:40 1539.61 1426.71 1676.86 0.00 0.00 0.00 16.39 5.22 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:41 1541.82 1431.14 1670.22 0.00 0.00 0.00 16.33 6.26 0.00 4.87 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:42 1537.40 1433.35 1676.86 0.00 0.00 0.00 16.51 6.26 0.00 4.75 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:43 1539.61 1428.93 1672.43 0.00 0.00 0.00 16.58 6.32 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:44 1537.40 1428.93 1674.65 0.00 0.00 0.00 15.29 6.38 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:45 1539.61 1428.93 1674.65 0.00 0.00 0.00 16.51 5.95 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:46 1541.82 1433.35 1674.65 0.00 0.00 0.00 16.27 5.10 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:48 1539.61 1428.93 1674.65 0.00 0.00 0.00 16.33 5.83 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:49 1539.61 1426.71 1672.43 0.00 0.00 0.00 16.58 6.32 0.00 4.88 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:50 1539.61 1424.50 1672.43 0.00 0.00 0.00 16.45 6.14 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:51 1539.61 1428.93 1670.22 0.00 0.00 0.00 16.33 6.38 0.00 4.90 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:52 1532.97 1420.07 1670.22 0.00 0.00 0.00 16.45 5.89 0.00 4.86 0.98 0.00 0.00 0.00 0.00 0.00
